arxiv_id,page_count,word_count,char_count,extraction_method,source_file,error,status
2406.01263v2,0,4056,24688,pymupdf,2406.01263v2.pdf,,skipped_existing
2405.09129v2,0,2708,16995,pymupdf,2405.09129v2.pdf,,skipped_existing
2404.14796v1,0,2162,15225,pymupdf,2404.14796v1.pdf,,skipped_existing
2312.11002v1,0,3116,21059,pymupdf,2312.11002v1.pdf,,skipped_existing
2308.04081v2,0,2999,19988,pymupdf,2308.04081v2.pdf,,skipped_existing
2211.00843v1,0,9078,59482,pymupdf,2211.00843v1.pdf,,skipped_existing
2208.11880v2,0,5149,33221,pymupdf,2208.11880v2.pdf,,skipped_existing
2203.11566v1,0,3439,21853,pymupdf,2203.11566v1.pdf,,skipped_existing
2203.07010v1,0,5671,36197,pymupdf,2203.07010v1.pdf,,skipped_existing
2106.09863v1,0,4033,26834,pymupdf,2106.09863v1.pdf,,skipped_existing
2104.02241v2,0,5500,32733,pymupdf,2104.02241v2.pdf,,skipped_existing
2102.01321v1,0,6150,42601,pymupdf,2102.01321v1.pdf,,skipped_existing
2011.12708v1,0,3298,21653,pymupdf,2011.12708v1.pdf,,skipped_existing
2007.11130v2,0,4885,33626,pymupdf,2007.11130v2.pdf,,skipped_existing
2007.06696v2,0,2252,14594,pymupdf,2007.06696v2.pdf,,skipped_existing
2007.03235v1,0,3103,20211,pymupdf,2007.03235v1.pdf,,skipped_existing
2006.11576v1,0,3257,21598,pymupdf,2006.11576v1.pdf,,skipped_existing
2006.08489v1,0,4087,27988,pymupdf,2006.08489v1.pdf,,skipped_existing
2006.07798v2,0,3696,22937,pymupdf,2006.07798v2.pdf,,skipped_existing
2001.07928v1,0,4285,27109,pymupdf,2001.07928v1.pdf,,skipped_existing
1912.11981v1,0,4102,25939,pymupdf,1912.11981v1.pdf,,skipped_existing
1911.02337v1,0,3149,21211,pymupdf,1911.02337v1.pdf,,skipped_existing
1909.01710v1,0,4379,26210,pymupdf,1909.01710v1.pdf,,skipped_existing
1908.05961v2,0,3986,25921,pymupdf,1908.05961v2.pdf,,skipped_existing
1904.09402v1,0,2437,15709,pymupdf,1904.09402v1.pdf,,skipped_existing
1811.02810v2,0,3129,21060,pymupdf,1811.02810v2.pdf,,skipped_existing
1810.08404v3,0,4249,28419,pymupdf,1810.08404v3.pdf,,skipped_existing
1808.05782v3,0,12762,77370,pymupdf,1808.05782v3.pdf,,skipped_existing
1808.04090v2,0,3459,23074,pymupdf,1808.04090v2.pdf,,skipped_existing
1807.04582v1,0,2064,13015,pymupdf,1807.04582v1.pdf,,skipped_existing
1801.06568v1,0,4446,24459,pymupdf,1801.06568v1.pdf,,skipped_existing
1712.06815v1,0,3406,22036,pymupdf,1712.06815v1.pdf,,skipped_existing
1712.06726v1,0,3252,20453,pymupdf,1712.06726v1.pdf,,skipped_existing
1709.05992v2,0,4218,25281,pymupdf,1709.05992v2.pdf,,skipped_existing
1709.00892v2,0,4774,30022,pymupdf,1709.00892v2.pdf,,skipped_existing
1708.08252v2,0,2677,18523,pymupdf,1708.08252v2.pdf,,skipped_existing
1708.03841v1,0,2789,18018,pymupdf,1708.03841v1.pdf,,skipped_existing
1708.03840v1,0,3790,24526,pymupdf,1708.03840v1.pdf,,skipped_existing
1705.10452v1,0,3350,20988,pymupdf,1705.10452v1.pdf,,skipped_existing
1702.07485v1,0,5048,33288,pymupdf,1702.07485v1.pdf,,skipped_existing
1701.07575v1,0,2274,15101,pymupdf,1701.07575v1.pdf,,skipped_existing
1610.09825v1,0,3666,24551,pymupdf,1610.09825v1.pdf,,skipped_existing
1608.01470v2,0,5024,31568,pymupdf,1608.01470v2.pdf,,skipped_existing
1607.05371v1,0,2609,16645,pymupdf,1607.05371v1.pdf,,skipped_existing
1604.08686v1,0,3753,23059,pymupdf,1604.08686v1.pdf,,skipped_existing
1604.01939v1,0,7978,49402,pymupdf,1604.01939v1.pdf,,skipped_existing
1604.00707v2,0,4420,29472,pymupdf,1604.00707v2.pdf,,skipped_existing
1603.02819v1,0,9531,57861,pymupdf,1603.02819v1.pdf,,skipped_existing
1602.05320v1,0,7075,45823,pymupdf,1602.05320v1.pdf,,skipped_existing
1601.03502v2,0,3325,20047,pymupdf,1601.03502v2.pdf,,skipped_existing
1512.08595v1,0,9046,57384,pymupdf,1512.08595v1.pdf,,skipped_existing
1512.04505v2,0,4881,30916,pymupdf,1512.04505v2.pdf,,skipped_existing
1511.00219v1,0,6449,41127,pymupdf,1511.00219v1.pdf,,skipped_existing
1509.06486v2,0,3409,20431,pymupdf,1509.06486v2.pdf,,skipped_existing
1509.03387v1,0,2242,14744,pymupdf,1509.03387v1.pdf,,skipped_existing
1508.04820v1,0,5235,31433,pymupdf,1508.04820v1.pdf,,skipped_existing
1508.01656v1,0,3215,20192,pymupdf,1508.01656v1.pdf,,skipped_existing
1508.01654v1,0,2710,18076,pymupdf,1508.01654v1.pdf,,skipped_existing
1506.07231v1,0,3705,23412,pymupdf,1506.07231v1.pdf,,skipped_existing
1505.08002v2,0,1944,12207,pymupdf,1505.08002v2.pdf,,skipped_existing
1504.08088v3,0,3204,19337,pymupdf,1504.08088v3.pdf,,skipped_existing
1504.01208v2,0,5198,37079,pymupdf,1504.01208v2.pdf,,skipped_existing
1502.05502v3,0,2920,19475,pymupdf,1502.05502v3.pdf,,skipped_existing
1501.04453v2,0,4352,26928,pymupdf,1501.04453v2.pdf,,skipped_existing
1412.8387v2,0,3014,19442,pymupdf,1412.8387v2.pdf,,skipped_existing
1412.3070v1,0,3083,19476,pymupdf,1412.3070v1.pdf,,skipped_existing
1411.6903v1,0,7408,45051,pymupdf,1411.6903v1.pdf,,skipped_existing
1410.6775v2,0,2955,18831,pymupdf,1410.6775v2.pdf,,skipped_existing
1410.0751v2,0,5762,36971,pymupdf,1410.0751v2.pdf,,skipped_existing
1409.2189v2,0,2460,15814,pymupdf,1409.2189v2.pdf,,skipped_existing
1408.6004v2,0,7814,50501,pymupdf,1408.6004v2.pdf,,skipped_existing
1408.2625v4,0,4662,29965,pymupdf,1408.2625v4.pdf,,skipped_existing
1408.0108v1,0,2357,14711,pymupdf,1408.0108v1.pdf,,skipped_existing
1407.6793v4,0,1339,8734,pymupdf,1407.6793v4.pdf,,skipped_existing
1406.5851v1,0,3950,24677,pymupdf,1406.5851v1.pdf,,skipped_existing
1406.4231v2,0,3729,24582,pymupdf,1406.4231v2.pdf,,skipped_existing
1406.0734v1,0,2824,18464,pymupdf,1406.0734v1.pdf,,skipped_existing
1405.5976v2,0,3123,20235,pymupdf,1405.5976v2.pdf,,skipped_existing
1405.3832v2,0,4647,30613,pymupdf,1405.3832v2.pdf,,skipped_existing
1404.7562v1,0,2604,15858,pymupdf,1404.7562v1.pdf,,skipped_existing
1404.6361v3,0,2647,17737,pymupdf,1404.6361v3.pdf,,skipped_existing
1404.6359v2,0,2324,16333,pymupdf,1404.6359v2.pdf,,skipped_existing
1404.3798v1,0,4239,26813,pymupdf,1404.3798v1.pdf,,skipped_existing
1402.5189v2,0,2759,17588,pymupdf,1402.5189v2.pdf,,skipped_existing
1402.1833v1,0,4196,24889,pymupdf,1402.1833v1.pdf,,skipped_existing
1401.7506v2,0,1831,11842,pymupdf,1401.7506v2.pdf,,skipped_existing
1401.4811v2,0,3253,20598,pymupdf,1401.4811v2.pdf,,skipped_existing
1312.4694v1,0,1673,11033,pymupdf,1312.4694v1.pdf,,skipped_existing
1312.3707v2,0,3843,24464,pymupdf,1312.3707v2.pdf,,skipped_existing
1311.4272v1,0,1463,10049,pymupdf,1311.4272v1.pdf,,skipped_existing
1311.4270v1,0,1737,12026,pymupdf,1311.4270v1.pdf,,skipped_existing
1311.4267v1,0,4101,23982,pymupdf,1311.4267v1.pdf,,skipped_existing
1311.0161v2,0,2564,16044,pymupdf,1311.0161v2.pdf,,skipped_existing
1310.8131v2,0,2830,19046,pymupdf,1310.8131v2.pdf,,skipped_existing
1310.4634v3,0,2046,13499,pymupdf,1310.4634v3.pdf,,skipped_existing
1310.1695v2,0,3776,22738,pymupdf,1310.1695v2.pdf,,skipped_existing
1310.1213v2,0,2554,16072,pymupdf,1310.1213v2.pdf,,skipped_existing
1310.0377v1,0,5133,31902,pymupdf,1310.0377v1.pdf,,skipped_existing
1309.7282v2,0,4051,23686,pymupdf,1309.7282v2.pdf,,skipped_existing
1309.6400v1,0,3159,20095,pymupdf,1309.6400v1.pdf,,skipped_existing
1308.1072v3,0,4676,27668,pymupdf,1308.1072v3.pdf,,skipped_existing
1307.4877v1,0,3015,19797,pymupdf,1307.4877v1.pdf,,skipped_existing
1307.4157v5,0,5695,34636,pymupdf,1307.4157v5.pdf,,skipped_existing
1307.0645v2,0,2370,15345,pymupdf,1307.0645v2.pdf,,skipped_existing
1306.6393v3,0,2436,15458,pymupdf,1306.6393v3.pdf,,skipped_existing
1306.3346v2,0,2658,17110,pymupdf,1306.3346v2.pdf,,skipped_existing
1305.6913v1,0,4070,25209,pymupdf,1305.6913v1.pdf,,skipped_existing
1304.5032v2,0,2204,14886,pymupdf,1304.5032v2.pdf,,skipped_existing
1304.4386v1,0,5367,33305,pymupdf,1304.4386v1.pdf,,skipped_existing
1304.3354v2,0,5458,32717,pymupdf,1304.3354v2.pdf,,skipped_existing
1301.2380v1,0,2981,18048,pymupdf,1301.2380v1.pdf,,skipped_existing
1212.0210v1,0,5981,33897,pymupdf,1212.0210v1.pdf,,skipped_existing
1211.3818v1,0,2598,16996,pymupdf,1211.3818v1.pdf,,skipped_existing
1210.2418v1,0,4460,27004,pymupdf,1210.2418v1.pdf,,skipped_existing
1210.1743v2,0,2301,14399,pymupdf,1210.1743v2.pdf,,skipped_existing
1210.1305v1,0,6263,38086,pymupdf,1210.1305v1.pdf,,skipped_existing
1209.3846v1,0,1976,12853,pymupdf,1209.3846v1.pdf,,skipped_existing
1208.5873v3,0,1930,12845,pymupdf,1208.5873v3.pdf,,skipped_existing
1208.5307v1,0,2474,17231,pymupdf,1208.5307v1.pdf,,skipped_existing
1208.3189v2,0,3194,19355,pymupdf,1208.3189v2.pdf,,skipped_existing
1208.2818v3,0,4907,31513,pymupdf,1208.2818v3.pdf,,skipped_existing
1208.2796v1,0,1328,7920,pymupdf,1208.2796v1.pdf,,skipped_existing
1207.6935v2,0,3071,18469,pymupdf,1207.6935v2.pdf,,skipped_existing
1207.6845v4,0,2065,13768,pymupdf,1207.6845v4.pdf,,skipped_existing
1207.5428v5,0,2884,18556,pymupdf,1207.5428v5.pdf,,skipped_existing
1207.5395v1,0,1977,12878,pymupdf,1207.5395v1.pdf,,skipped_existing
1207.5248v1,0,1619,9966,pymupdf,1207.5248v1.pdf,,skipped_existing
1207.4955v1,0,3733,22073,pymupdf,1207.4955v1.pdf,,skipped_existing
1207.3558v4,0,2974,18807,pymupdf,1207.3558v4.pdf,,skipped_existing
1207.3145v1,0,3181,20981,pymupdf,1207.3145v1.pdf,,skipped_existing
